id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction,home_team,away_team,match_date
76058,7,MissedShots,0.865999984741211,0.49,0.03531309962272644,Arjen Robben,h,392,OpenPlay,2015,Head,1021,Bayern Munich,Hamburger SV,5,0,2015-08-14 22:30:00,David Alaba,Chipped,Bayern Munich,Hamburger SV,2015-08-14 22:30:00
76059,8,BlockedShot,0.8769999694824219,0.30100000381469727,0.11703599989414215,Philipp Lahm,h,218,OpenPlay,2015,RightFoot,1021,Bayern Munich,Hamburger SV,5,0,2015-08-14 22:30:00,Arjen Robben,Throughball,Bayern Munich,Hamburger SV,2015-08-14 22:30:00
76060,16,MissedShots,0.91,0.54,0.02818880043923855,Robert Lewandowski,h,227,FromCorner,2015,Head,1021,Bayern Munich,Hamburger SV,5,0,2015-08-14 22:30:00,Xabi Alonso,Aerial,Bayern Munich,Hamburger SV,2015-08-14 22:30:00
76061,20,MissedShots,0.9119999694824219,0.47,0.3318679928779602,Robert Lewandowski,h,227,OpenPlay,2015,Head,1021,Bayern Munich,Hamburger SV,5,0,2015-08-14 22:30:00,Philipp Lahm,Cross,Bayern Munich,Hamburger SV,2015-08-14 22:30:00
76062,26,Goal,0.9440000152587891,0.48700000762939455,0.4985719919204712,Medhi Benatia,h,328,SetPiece,2015,OtherBodyPart,1021,Bayern Munich,Hamburger SV,5,0,2015-08-14 22:30:00,Xabi Alonso,Chipped,Bayern Munich,Hamburger SV,2015-08-14 22:30:00
76063,28,MissedShots,0.8690000152587891,0.47299999237060547,0.07751789689064026,Thomas Müller,h,224,OpenPlay,2015,LeftFoot,1021,Bayern Munich,Hamburger SV,5,0,2015-08-14 22:30:00,David Alaba,Cross,Bayern Munich,Hamburger SV,2015-08-14 22:30:00
76064,31,SavedShot,0.6619999694824219,0.3270000076293945,0.013227200135588646,Jérôme Boateng,h,220,OpenPlay,2015,RightFoot,1021,Bayern Munich,Hamburger SV,5,0,2015-08-14 22:30:00,Arturo Vidal,Pass,Bayern Munich,Hamburger SV,2015-08-14 22:30:00
76065,32,MissedShots,0.9459999847412109,0.45599998474121095,0.0693615972995758,Jérôme Boateng,h,220,FromCorner,2015,Head,1021,Bayern Munich,Hamburger SV,5,0,2015-08-14 22:30:00,Xabi Alonso,Aerial,Bayern Munich,Hamburger SV,2015-08-14 22:30:00
76067,45,MissedShots,0.7930000305175782,0.669000015258789,0.04580039903521538,David Alaba,h,391,OpenPlay,2015,LeftFoot,1021,Bayern Munich,Hamburger SV,5,0,2015-08-14 22:30:00,Robert Lewandowski,LayOff,Bayern Munich,Hamburger SV,2015-08-14 22:30:00
76069,50,SavedShot,0.7440000152587891,0.33099998474121095,0.04852620139718056,David Alaba,h,391,DirectFreekick,2015,LeftFoot,1021,Bayern Munich,Hamburger SV,5,0,2015-08-14 22:30:00,,Standard,Bayern Munich,Hamburger SV,2015-08-14 22:30:00
