id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction,home_team,away_team,match_date
165760,4,SavedShot,0.8219999694824218,0.3529999923706055,0.04502129927277565,Corentin Tolisso,h,3603,OpenPlay,2017,RightFoot,8259,Bayern Munich,Bayer Leverkusen,3,1,2017-08-18 19:30:00,Robert Lewandowski,BallTouch,Bayern Munich,Bayer Leverkusen,2017-08-18 19:30:00
165761,8,Goal,0.9290000152587891,0.40599998474121096,0.08038149774074554,Niklas Süle,h,75,SetPiece,2017,Head,8259,Bayern Munich,Bayer Leverkusen,3,1,2017-08-18 19:30:00,Sebastian Rudy,Cross,Bayern Munich,Bayer Leverkusen,2017-08-18 19:30:00
165764,15,MissedShots,0.7090000152587891,0.6419999694824219,0.013485799543559551,Arturo Vidal,h,222,OpenPlay,2017,RightFoot,8259,Bayern Munich,Bayer Leverkusen,3,1,2017-08-18 19:30:00,,None,Bayern Munich,Bayer Leverkusen,2017-08-18 19:30:00
165765,17,Goal,0.97,0.45599998474121095,0.4763219952583313,Corentin Tolisso,h,3603,FromCorner,2017,Head,8259,Bayern Munich,Bayer Leverkusen,3,1,2017-08-18 19:30:00,Arturo Vidal,Chipped,Bayern Munich,Bayer Leverkusen,2017-08-18 19:30:00
165767,22,SavedShot,0.9409999847412109,0.315,0.0916718989610672,Corentin Tolisso,h,3603,OpenPlay,2017,RightFoot,8259,Bayern Munich,Bayer Leverkusen,3,1,2017-08-18 19:30:00,Thomas Müller,Pass,Bayern Munich,Bayer Leverkusen,2017-08-18 19:30:00
165769,26,SavedShot,0.935,0.5790000152587891,0.47324299812316895,Thomas Müller,h,224,OpenPlay,2017,LeftFoot,8259,Bayern Munich,Bayer Leverkusen,3,1,2017-08-18 19:30:00,Franck Ribéry,Pass,Bayern Munich,Bayer Leverkusen,2017-08-18 19:30:00
165773,42,MissedShots,0.7019999694824218,0.46599998474121096,0.022095099091529846,Corentin Tolisso,h,3603,OpenPlay,2017,RightFoot,8259,Bayern Munich,Bayer Leverkusen,3,1,2017-08-18 19:30:00,Franck Ribéry,Pass,Bayern Munich,Bayer Leverkusen,2017-08-18 19:30:00
165777,51,Goal,0.885,0.5,0.7577769756317139,Robert Lewandowski,h,227,Penalty,2017,RightFoot,8259,Bayern Munich,Bayer Leverkusen,3,1,2017-08-18 19:30:00,,Standard,Bayern Munich,Bayer Leverkusen,2017-08-18 19:30:00
165781,61,SavedShot,0.9069999694824219,0.46599998474121096,0.06677819788455963,Mats Hummels,h,373,SetPiece,2017,Head,8259,Bayern Munich,Bayer Leverkusen,3,1,2017-08-18 19:30:00,Sebastian Rudy,Chipped,Bayern Munich,Bayer Leverkusen,2017-08-18 19:30:00
165784,77,MissedShots,0.904000015258789,0.6630000305175782,0.040290798991918564,Robert Lewandowski,h,227,OpenPlay,2017,LeftFoot,8259,Bayern Munich,Bayer Leverkusen,3,1,2017-08-18 19:30:00,,Aerial,Bayern Munich,Bayer Leverkusen,2017-08-18 19:30:00
165786,84,BlockedShot,0.805,0.674000015258789,0.04971100017428398,Kingsley Coman,h,226,OpenPlay,2017,RightFoot,8259,Bayern Munich,Bayer Leverkusen,3,1,2017-08-18 19:30:00,Rafinha,Pass,Bayern Munich,Bayer Leverkusen,2017-08-18 19:30:00
165787,85,MissedShots,0.86,0.375,0.27197399735450745,Robert Lewandowski,h,227,OpenPlay,2017,RightFoot,8259,Bayern Munich,Bayer Leverkusen,3,1,2017-08-18 19:30:00,Arjen Robben,Pass,Bayern Munich,Bayer Leverkusen,2017-08-18 19:30:00
165791,90,SavedShot,0.91,0.40200000762939453,0.3903070092201233,Arjen Robben,h,392,OpenPlay,2017,RightFoot,8259,Bayern Munich,Bayer Leverkusen,3,1,2017-08-18 19:30:00,Robert Lewandowski,Pass,Bayern Munich,Bayer Leverkusen,2017-08-18 19:30:00
165762,11,SavedShot,0.9080000305175782,0.34599998474121096,0.09781429916620255,Admir Mehmedi,a,194,OpenPlay,2017,RightFoot,8259,Bayern Munich,Bayer Leverkusen,3,1,2017-08-18 19:30:00,Karim Bellarabi,Throughball,Bayern Munich,Bayer Leverkusen,2017-08-18 19:30:00
165763,11,MissedShots,0.8619999694824219,0.4779999923706055,0.07169900089502335,Karim Bellarabi,a,186,OpenPlay,2017,RightFoot,8259,Bayern Munich,Bayer Leverkusen,3,1,2017-08-18 19:30:00,,Rebound,Bayern Munich,Bayer Leverkusen,2017-08-18 19:30:00
165766,20,SavedShot,0.9390000152587891,0.3120000076293945,0.0656374990940094,Kevin Volland,a,83,OpenPlay,2017,RightFoot,8259,Bayern Munich,Bayer Leverkusen,3,1,2017-08-18 19:30:00,Admir Mehmedi,Pass,Bayern Munich,Bayer Leverkusen,2017-08-18 19:30:00
165768,23,MissedShots,0.7880000305175782,0.42400001525878905,0.029868800193071365,Karim Bellarabi,a,186,OpenPlay,2017,RightFoot,8259,Bayern Munich,Bayer Leverkusen,3,1,2017-08-18 19:30:00,Dominik Kohr,Pass,Bayern Munich,Bayer Leverkusen,2017-08-18 19:30:00
