id,minute,result,X,Y,xG,player,h_a,player_id,situation,season,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction,home_team,away_team,match_date
219798,1,BlockedShot,0.9030000305175782,0.5670000076293945,0.07514529675245285,Robert Lewandowski,h,227,SetPiece,2018,RightFoot,10337,Bayern Munich,Hoffenheim,3,1,2018-08-24 21:30:00,Joshua Kimmich,Cross,Bayern Munich,Hoffenheim,2018-08-24 21:30:00
219799,9,BlockedShot,0.8319999694824218,0.7069999694824218,0.026209399104118347,David Alaba,h,391,OpenPlay,2018,LeftFoot,10337,Bayern Munich,Hoffenheim,3,1,2018-08-24 21:30:00,Franck Ribéry,Pass,Bayern Munich,Hoffenheim,2018-08-24 21:30:00
219800,10,BlockedShot,0.9030000305175782,0.55,0.09435439854860306,Jérôme Boateng,h,220,FromCorner,2018,RightFoot,10337,Bayern Munich,Hoffenheim,3,1,2018-08-24 21:30:00,,None,Bayern Munich,Hoffenheim,2018-08-24 21:30:00
219801,22,Goal,0.9669999694824218,0.5320000076293945,0.4878630042076111,Thomas Müller,h,224,FromCorner,2018,Head,10337,Bayern Munich,Hoffenheim,3,1,2018-08-24 21:30:00,Joshua Kimmich,Aerial,Bayern Munich,Hoffenheim,2018-08-24 21:30:00
219803,30,BlockedShot,0.7719999694824219,0.43099998474121093,0.033843401819467545,Thiago Alcántara,h,229,OpenPlay,2018,RightFoot,10337,Bayern Munich,Hoffenheim,3,1,2018-08-24 21:30:00,Franck Ribéry,Pass,Bayern Munich,Hoffenheim,2018-08-24 21:30:00
219804,31,BlockedShot,0.8119999694824219,0.4759999847412109,0.06695859879255295,Robert Lewandowski,h,227,OpenPlay,2018,RightFoot,10337,Bayern Munich,Hoffenheim,3,1,2018-08-24 21:30:00,,None,Bayern Munich,Hoffenheim,2018-08-24 21:30:00
219806,36,SavedShot,0.885,0.36700000762939455,0.3237740099430084,Kingsley Coman,h,226,OpenPlay,2018,RightFoot,10337,Bayern Munich,Hoffenheim,3,1,2018-08-24 21:30:00,Thomas Müller,TakeOn,Bayern Munich,Hoffenheim,2018-08-24 21:30:00
219808,53,MissedShots,0.8190000152587891,0.4329999923706055,0.06245940178632736,Arjen Robben,h,392,OpenPlay,2018,LeftFoot,10337,Bayern Munich,Hoffenheim,3,1,2018-08-24 21:30:00,Javi Martínez,Pass,Bayern Munich,Hoffenheim,2018-08-24 21:30:00
219814,81,Goal,0.885,0.5,0.7576959729194641,Robert Lewandowski,h,227,Penalty,2018,RightFoot,10337,Bayern Munich,Hoffenheim,3,1,2018-08-24 21:30:00,,Standard,Bayern Munich,Hoffenheim,2018-08-24 21:30:00
219815,86,MissedShots,0.745999984741211,0.32599998474121095,0.019227800890803337,Leon Goretzka,h,335,OpenPlay,2018,RightFoot,10337,Bayern Munich,Hoffenheim,3,1,2018-08-24 21:30:00,Thomas Müller,BallRecovery,Bayern Munich,Hoffenheim,2018-08-24 21:30:00
